proxy_kind,calib_method,proxy_batch_size,corruption,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,linear,1024,brightness_s5,20,0.9,18,20,0.5,1.0,0.0,18,2,0.04949553013983338,-0.18169945468601406,-0.28099085268320545,-0.2117563813787687,0.017727425455385918,0.13314437823425335,0.08649868983274446,0.0055408708221754205,-0.07443702588212012,0.17832962158891308
cot,linear,1024,clean,20,0.55,11,20,0.5,1.0,0.0,11,9,0.01997731687305931,0.5319066714953842,0.5641351008757886,0.5953293284314137,0.045408245762832866,-0.21309210628935288,0.07387888513381875,0.017497871204244807,0.13227951921686443,0.4009053199057116
cot,linear,1024,contrast_s5,20,0.0,0,20,nan,nan,0.0,0,20,0.09958484155727487,0.20162776849982086,0.4280698696348468,0.2640528230907718,0.0006457380900153629,0.025411377176677435,0.12048206434412272,0.19396771711985025,0.4404176621343089,0.6158534414783476
cot,linear,1024,defocus_blur_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.12317164006180362,-0.03560705710810184,-0.1801173318482492,-0.27259067057857767,0.016228910184716026,-0.12739273992153566,-0.044427761226895256,0.0009581096968302244,0.030953347102215367,0.16955582138869382
cot,linear,1024,elastic_transform_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.12497049669863107,0.009124783301747026,0.03412092772757598,0.04367474832474448,0.00950448505527394,0.0974909485812603,0.28700615866451945,0.035672806052069544,0.1888724597501434,0.30097826428508534
cot,linear,1024,fog_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.05105054100833872,0.18933583758251762,0.49281082844028334,0.5680964738380986,0.06941490541890749,0.2634670860257643,0.34524259681069314,0.37337643509419427,0.6110453625502728,0.6318165170391771
cot,linear,1024,frost_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.09641432387444229,-0.027450956040715117,-0.15623916022925316,-0.14689291585191938,0.07571015134400023,0.27515477706919833,0.3085027208922125,0.010266484943762652,-0.10132366428314095,0.0979655856912453
cot,linear,1024,gaussian_noise_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.15359512741465034,-0.07435602854190601,-0.4369519917879367,-0.37500042527108196,0.10475090295250472,0.32365244159824397,0.22749569531938288,0.016912003526750215,0.13004615921568086,0.36673216548730425
cot,linear,1024,glass_blur_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.12444062447822794,0.0694916993220816,0.36375729428616,0.2839929706470442,0.06675894833643023,0.2583775306338193,0.4200228495925825,0.1878653802070376,0.43343440127317723,0.37589520518003994
cot,linear,1024,impulse_noise_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.13708989662623405,-0.005340570617530405,-0.07132948845003056,-0.16842105263157892,0.0034493156162722595,0.05873087447222508,0.3018443775745978,0.414789891040843,0.6440418395111012,0.5374055922178865
cot,linear,1024,jpeg_compression_s5,20,0.95,19,20,0.5,1.0,0.0,19,1,0.05835950296043002,0.10526482725813693,0.197552795529368,0.29518105764310065,0.021158239627828816,0.1454587213879897,0.1414597842139901,0.13118990823616586,0.362201474646592,0.4213695699991195
cot,linear,1024,motion_blur_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.11274699969148724,0.029540682756234487,0.15033850111183483,0.09789167727959971,0.044188418865140106,0.21021041569137364,0.5598195715702587,0.042576258413843444,0.20634015220950924,0.21745679594597417
cot,linear,1024,pixelate_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.08404038321114118,0.08261488254430388,0.19530346698188783,0.05120487734625215,0.16491528990625604,0.406097635927933,0.06997744644628234,0.5617564267490891,0.7495041205684523,0.7070791151195702
cot,linear,1024,shot_noise_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.10653617414647229,0.11288453068790098,0.5870923231694598,0.47421934631420604,0.002928891598220439,-0.05411923501141197,0.057960142327291846,0.18429794992607143,0.42929937098261794,0.3757534381732327
cot,linear,1024,snow_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.09493779618165422,0.08511183912886157,0.20999638815834468,0.17237496873960823,0.13750144962238595,0.37081187902005774,0.6162529961237122,0.11682160041584015,0.34179175006989293,0.23117496096028542
cot,linear,1024,zoom_blur_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.10709940955470557,-0.170477553225943,-0.5181371762380226,-0.5741160391238003,0.008313035735953416,0.091175850618206,0.006769462682562611,0.004538158842176043,-0.06736585813434015,0.0684983500231631
cot,linear,2048,brightness_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.015904770325777466,0.04062709624560099,0.07728264544046559,0.16363636363636364,0.021512855243067987,0.14667261245054575,0.2796365500928297,0.00634693172313662,-0.07966763284506839,-0.07926976633148354
cot,linear,2048,clean,10,0.2,2,10,0.3333333333333333,0.0,0.6666666666666666,7,3,-0.013720018905669651,-0.6660731041761361,-0.37924985369405706,-0.3231767396591252,0.004344625183874002,0.06591377082123281,0.06079055436800646,0.021122258942812683,0.14533498870820022,0.32121212121212117
cot,linear,2048,contrast_s5,10,0.0,0,10,nan,nan,0.0,0,10,0.0716364767610829,0.1456745477673389,0.40527715573498646,0.33333333333333326,0.08927012861772239,0.2987810713845882,-0.2796365500928297,0.2644553451063555,0.5142522193499562,0.26747843921922837
cot,linear,2048,defocus_blur_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.10650850772369866,0.049433426337739374,0.1251508735130507,0.29268836799317,0.039289667315552154,0.19821621355366506,0.4424242424242424,0.2580996565083214,0.508035093776327,0.4545454545454545
cot,linear,2048,elastic_transform_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.12075291941418989,0.02195648434217702,0.1011706724244189,0.34545454545454546,0.00040054459256250586,-0.020013610183135522,0.01818181818181818,0.3766657583656311,0.6137310146681778,0.6
cot,linear,2048,fog_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.04569552056400398,0.016779164481080962,0.053887866554971076,0.22492505116162387,0.6447871360689016,0.8029863859798008,0.7696969696969697,0.4512070498305423,0.6717194725706128,0.6969696969696969
cot,linear,2048,frost_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.08131886678543747,-0.02515698342448375,-0.22895416579470868,-0.07878787878787878,0.0008444453926788423,0.029059342605758348,0.32121212121212117,0.0004447847258408366,-0.021089920005558024,0.006060606060606061
cot,linear,2048,gaussian_noise_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.140973868783593,-0.03181573628310546,-0.33593607798728725,-0.309090909090909,0.08190880116629448,0.2861971368939502,0.1515151515151515,0.1272069780848552,0.3566608726575642,0.35258521533443743
cot,linear,2048,glass_blur_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.1371719838128706,-0.04397068129461337,-0.17798912800034708,-0.17575757575757575,0.7082138539443084,0.8415544272026072,0.9300954818304988,0.03406237945292917,-0.18455996167351457,-0.18787878787878787
cot,linear,2048,impulse_noise_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.13876605341485557,-0.015271434523455023,-0.2467441983666812,-0.16363636363636364,0.1329113052262795,-0.3645700278770589,-0.41945482513924454,0.0011002991098845126,0.03317075684823174,-0.0303030303030303
cot,linear,2048,jpeg_compression_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.04284710544824893,-0.19654538100341187,-0.3870112201874162,-0.35258521533443743,0.07690444327154838,-0.2773165037850225,-0.10303030303030303,0.0332561565258184,-0.18236270596209742,-0.13939393939393938
cot,linear,2048,motion_blur_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.10346351743394158,0.05597554045531521,0.3384486846469095,0.33333333333333326,0.5044321760058044,0.710233888240912,0.8181818181818182,0.2561876833655289,0.5061498625560703,0.406060606060606
cot,linear,2048,pixelate_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.061369613584890605,0.16141677730763035,0.4475903151660123,0.8206724839680872,0.15808901540127343,0.3976040937934033,0.35757575757575755,0.40947546086025566,0.6399026964002071,0.7454545454545454
cot,linear,2048,shot_noise_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.11286509123143862,0.07513247975322877,0.572699757253861,0.6079055436800646,0.005607451981635525,-0.07488292182891587,-0.19999999999999998,0.3948152402633697,0.6283432503523609,0.5349568784384567
cot,linear,2048,snow_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.08892463023280778,0.05203110443129348,0.1509403364679101,0.34545454545454546,0.20256438149844735,0.45007152931333855,0.41818181818181815,0.06564634416166419,0.2562154253000084,0.21276694028802262
cot,linear,2048,zoom_blur_s5,10,1.0,10,10,nan,1.0,nan,10,0,0.0923486289405802,-0.10625160062865317,-0.5226902777882636,-0.480245379507251,0.34648549131135065,0.5886301821274124,0.6727272727272726,0.012583645304206194,0.11217684834316836,0.2606060606060606
cot,platt,128,brightness_s5,157,0.6861313868613139,94,137,0.5,1.0,0.0,94,43,0.12052887286125284,-0.0020543486338181413,-0.007701371293197437,-0.019122487702688797,0.0031051367688971336,0.05572375408115585,0.08040813572185486,0.0022935668780420066,0.047891198335832094,0.12881703233408123
cot,platt,128,clean,157,0.5639097744360902,75,133,0.5,1.0,0.0,75,58,0.11607219889151449,0.035330796393663454,0.09437245127851071,0.0890246362075451,0.049723182204949666,0.2229869552349412,0.23801753994895053,0.00022684325766682154,-0.015061316598054153,-0.03633926933472436
cot,platt,128,contrast_s5,157,0.0,0,157,nan,nan,0.0,0,157,0.12653428672554987,0.007318310619216423,0.06148812905353796,0.06203592948503888,0.04045009875531518,0.20112209912218793,0.27624312308480553,0.009827120806412197,0.09913183548392614,0.1088277240253693
cot,platt,128,defocus_blur_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.13694881311767013,0.00411127197248201,0.04003134429852841,0.04420427873140121,0.0022614859771389662,0.04755508360984098,0.06315375200534613,0.018113774630967458,0.1345874237474195,0.08026924512087007
cot,platt,128,elastic_transform_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.1399404959925534,-0.005897853243278581,-0.054848718381697865,-0.03428502867030469,0.009267483075866622,0.09626776758534822,0.04143705767367485,0.008740528311435283,0.09349079265593635,0.11623540068358564
cot,platt,128,fog_s5,157,0.9745222929936306,153,157,0.5,1.0,0.0,153,4,0.12465744692743615,-0.001135755220108495,-0.008318745180774821,-0.04464622751013533,0.0013112537530976765,0.03621123793931487,0.0007552831569215576,0.015086491688339324,0.1228270804356243,0.12982885540976843
