duo,corruption,severity,n_samples,n_chunks,win_rate_large,win_rate_small,n_large_win,n_small_win,n_tie,oracle_delta_acc_mean_pp,oracle_delta_acc_median_pp,disagree_rate,acc_large,acc_small,acc_fixed,acc_gate,acc_persample,acc_hard,acc_either
resnet50+efficientnet_b0,ALL,-,150000,1185,0.9949109414758269,0.005089058524173028,1173,6,6,5.497758438818566,5.46875,0.786760002374649,0.3503200014432271,0.22467999905347824,0.3546666661898295,0.3901569092827004,0.4505933384100596,0.34998022151898733,0.40548000335693357
convnext_tiny+swin_t,brightness,5,10000,79,0.8333333333333334,0.16666666666666666,60,12,7,6.2203322784810124,6.25,0.29490000009536743,0.6797000169754028,0.6485000252723694,0.6970999836921692,0.7082674050632911,0.7552000284194946,0.6811708860759493,0.7454000115394592
convnext_tiny+swin_t,contrast,5,10000,79,0.2602739726027397,0.7397260273972602,19,54,6,8.257515822784809,8.59375,0.6550999879837036,0.2955000102519989,0.3172999918460846,0.3416999876499176,0.3614517405063291,0.4284000098705292,0.3251582278481013,0.4066999852657318
convnext_tiny+swin_t,defocus_blur,5,10000,79,0.5285714285714286,0.4714285714285714,37,33,9,5.834651898734177,5.46875,0.6840999722480774,0.20659999549388885,0.2029000073671341,0.226500004529953,0.24159414556962025,0.29350000619888306,0.21726661392405064,0.2766000032424927
convnext_tiny+swin_t,elastic_transform,5,10000,79,0.7866666666666666,0.21333333333333335,59,16,4,5.68631329113924,5.46875,0.6234999895095825,0.23350000381469727,0.21220000088214874,0.24469999969005585,0.2602848101265823,0.3093999922275543,0.23803401898734178,0.2946999967098236
convnext_tiny+swin_t,fog,5,10000,79,0.0,1.0,0,79,0,7.604825949367089,7.8125,0.6175000071525574,0.3068999946117401,0.4154999852180481,0.39340001344680786,0.4465981012658228,0.5230000019073486,0.4150514240506329,0.49239999055862427
convnext_tiny+swin_t,frost,5,10000,79,0.4594594594594595,0.5405405405405406,34,40,5,8.356408227848101,8.59375,0.5587000250816345,0.4172999858856201,0.4205999970436096,0.46880000829696655,0.4830893987341772,0.5460000038146973,0.4353243670886076,0.5205000042915344
convnext_tiny+swin_t,gaussian_noise,5,10000,79,0.2112676056338028,0.7887323943661971,15,56,8,5.834651898734177,6.25,0.7771000266075134,0.15530000627040863,0.1776999980211258,0.1932000070810318,0.21143196202531644,0.26100000739097595,0.18146756329113925,0.23970000445842743
convnext_tiny+swin_t,glass_blur,5,10000,79,0.5,0.5,37,37,5,2.9272151898734178,2.34375,0.7123000025749207,0.10520000010728836,0.10540000349283218,0.11509999632835388,0.12984572784810128,0.15629999339580536,0.11580300632911393,0.1459999978542328
convnext_tiny+swin_t,impulse_noise,5,10000,79,0.42857142857142855,0.5714285714285714,30,40,9,5.270965189873418,5.46875,0.791100025177002,0.13449999690055847,0.1378999948501587,0.16220000386238098,0.17790743670886075,0.22450000047683716,0.1495253164556962,0.20239999890327454
