proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,platt,512,600,0.814625850340136,479,588,0.6190378289473684,0.8828125,0.35526315789473684,512,76,0.005004875398424025,0.10557267449201853,0.6559057580884675,0.3472403330692968,0.8345918533763679,0.9135599889314154,0.9119946062984973,0.8797872527179771,0.9379697504280067,0.9214648379178488
prototype,platt,128,2355,0.636037651277454,1419,2231,0.6093461859680394,0.6502169197396963,0.5684754521963824,1844,387,0.00016763934962058435,0.5451947213088456,0.7215910753449822,0.4697595221833594,0.8161329893520359,0.9034007910955336,0.8174846479561712,0.8367561413324285,0.9147437571978442,0.9024730841286073
prototype,beta,128,2355,0.6297624383684447,1405,2231,0.6086126104917409,0.6409978308026031,0.5762273901808785,1844,387,-0.005024434780553904,0.6252862029585807,0.7378942927084229,0.4661340993879346,0.7904126754665296,0.8890515595096438,0.8174846479561712,0.7960434453516942,0.8922126682308956,0.9024730841286073
prototype,linear,128,2355,0.6293142088749439,1404,2231,0.6083414608171204,0.6404555314533622,0.5762273901808785,1844,387,-0.00907642541824754,0.7540421241791019,0.7353910786142617,0.4645036454856645,0.7868476306460259,0.8870443228193425,0.8174846479561712,0.7688832230843587,0.8768598651348793,0.9024730841286073
prototype,platt,512,600,0.6037414965986394,355,588,0.6043893914473684,0.603515625,0.6052631578947368,512,76,-0.0037735567952876256,0.6117533612158577,0.7709584937888823,0.5080947177997339,0.8410442306214909,0.917084636563873,0.8223993082842388,0.8636195081639343,0.9293113085311802,0.9295480711555059
prototype,beta,512,600,0.6003401360544217,353,588,0.6024362664473684,0.599609375,0.6052631578947368,512,76,-0.00956645729443105,0.7021141344180515,0.7868899345793503,0.5097639180920526,0.8142192906186976,0.9023410057282655,0.8223993082842388,0.8214219642995894,0.9063233221646618,0.9295480711555059
prototype,linear,512,600,0.5986394557823129,352,588,0.6014597039473684,0.59765625,0.6052631578947368,512,76,-0.014621034596529825,0.8473615809296092,0.7835891928783134,0.514030041107981,0.8107695720675728,0.900427438535484,0.8223993082842388,0.7937669300627436,0.8909359853899401,0.9295480711555059
cot,isotonic,512,600,0.5578231292517006,328,588,0.6004317434210527,0.54296875,0.6578947368421053,512,76,-0.00778270496117084,0.11452439735220188,0.3134500180124475,-0.04462055560069836,0.44299325747730867,0.6655773865429239,0.847624985220351,0.5162449432324289,0.7185018742024469,0.8799775902289336
cot,linear,512,600,0.8112244897959183,477,588,0.6002775493421053,0.884765625,0.3157894736842105,512,76,0.0053819407971787405,0.1037890637206578,0.6692699513546883,0.35007436757798976,0.830662148624173,0.911406686734398,0.9119946062984973,0.8736873804193711,0.9347124586841512,0.9214648379178488
nuclear_norm,isotonic,512,600,0.5068027210884354,298,588,0.599146792763158,0.474609375,0.7236842105263158,512,76,0.0029161334305991484,0.2923211416846545,0.6776107119681558,0.6678684954722727,0.8382490356372437,0.9155594113094156,0.8898551781200095,0.8007598214605752,0.8948518433017698,0.706785363441246
nuclear_norm,isotonic,2048,150,0.5234899328859061,78,149,0.5773172905525847,0.5075757575757576,0.6470588235294118,132,17,0.0004993095246047322,0.39033767798985936,0.7918021440462607,0.7864716642709415,0.8775231260538807,0.9367620434528081,0.9232593843116826,0.8125669807120999,0.9014249723144461,0.6972165825117937
